owner,method,path,handler,file,line
raster-service,POST,/v1/salinity/classify,salinity_classify,services/raster-service/routers/analysis.py,168
raster-service,POST,/v1/salinity/calibrate,salinity_calibrate,services/raster-service/routers/analysis.py,175
raster-service,GET,/v1/fields/{field_id}/cdse-tiles/{z}/{x}/{y}.png,field_cdse_tile,services/raster-service/routers/cdse_tiles.py,116
raster-service,GET,/v1/fields/{field_id}/cdse-thumbnail.png,field_cdse_thumbnail,services/raster-service/routers/cdse_tiles.py,191
raster-service,GET,/v1/fields/{field_id}/cdse-tilejson,field_cdse_tilejson,services/raster-service/routers/cdse_tiles.py,255
raster-service,GET,/v1/gis/admin-boundaries,gis_admin_boundaries,services/raster-service/routers/fields.py,92
raster-service,POST,/v1/fields/{field_id}/process-from-stac,process_from_stac,services/raster-service/routers/fields.py,141
raster-service,POST,/v1/fields/{field_id}/imagery/backfill,field_historical_backfill,services/raster-service/routers/fields.py,226
raster-service,GET,/v1/fields/{field_id}/imagery/backfill/{run_id},field_backfill_run_status,services/raster-service/routers/fields.py,608
raster-service,POST,/v1/fields/{field_id}/imagery/process-date,field_process_date,services/raster-service/routers/fields.py,626
raster-service,POST,/v1/fields/{field_id}/geometry/versions,create_field_geometry_version,services/raster-service/routers/fields.py,695
raster-service,POST,/v1/fields/analytics/geoparquet/export,export_field_analytics_geoparquet,services/raster-service/routers/fields.py,724
raster-service,POST,/v1/fields/{field_id}/process-cdse,process_cdse,services/raster-service/routers/fields.py,776
raster-service,GET,/v1/fields/{field_id}/indicator-grid,field_indicator_grid,services/raster-service/routers/fields.py,844
raster-service,GET,/v1/fields/{field_id}/indicator-observation-bundle,field_indicator_observation_bundle,services/raster-service/routers/fields.py,882
raster-service,GET,/v1/fields/{field_id}/pixel,field_pixel_value,services/raster-service/routers/fields.py,971
raster-service,POST,/v1/fields/{field_id}/prescription,field_prescription,services/raster-service/routers/fields.py,1050
raster-service,POST,/v1/fields/{field_id}/change,field_change,services/raster-service/routers/fields.py,1129
raster-service,GET,/v1/fields/{field_id}/timeseries,field_timeseries,services/raster-service/routers/fields.py,1186
raster-service,GET,/v1/fields/{field_id}/tiles/{z}/{x}/{y}.png,field_tile,services/raster-service/routers/fields.py,1277
raster-service,GET,/v1/fields/{field_id}/available-dates,field_available_dates,services/raster-service/routers/fields.py,1351
raster-service,GET,/v1/fields/{field_id}/terrain,field_terrain,services/raster-service/routers/fields.py,1549
raster-service,GET,/v1/fields/{field_id}/tilejson,field_tilejson,services/raster-service/routers/fields.py,1615
raster-service,GET,/v1/imagery/backfill/policy,historical_backfill_policy,services/raster-service/routers/imagery.py,22
raster-service,GET,/v1/imagery/quality/policy,imagery_quality_policy,services/raster-service/routers/imagery.py,44
raster-service,POST,/v1/imagery/scenes/rank,rank_imagery_scenes,services/raster-service/routers/imagery.py,78
raster-service,POST,/v1/imagery/mosaic/plan,imagery_mosaic_plan,services/raster-service/routers/imagery.py,91
raster-service,POST,/v1/scenes/quality-score,scene_quality_score,services/raster-service/routers/imagery.py,114
raster-service,POST,/v1/cog/registry/preview,cog_registry_preview,services/raster-service/routers/imagery.py,130
raster-service,GET,/v1/imagery/search/recent,imagery_search_recent,services/raster-service/routers/imagery_search.py,24
raster-service,GET,/v1/imagery/search/season,imagery_search_season,services/raster-service/routers/imagery_search.py,43
raster-service,GET,/v1/imagery/best,imagery_best_scene,services/raster-service/routers/imagery_search.py,65
raster-service,POST,/v1/imagery/search,imagery_search,services/raster-service/routers/imagery_search.py,120
raster-service,GET,/v1/imagery/search/radar,imagery_search_radar,services/raster-service/routers/imagery_search.py,132
raster-service,GET,/v1/imagery/search/landsat,imagery_search_landsat,services/raster-service/routers/imagery_search.py,157
raster-service,GET,/v1/imagery/dem,imagery_dem,services/raster-service/routers/imagery_search.py,186
raster-service,GET,/v1/jobs/{job_id},job_status,services/raster-service/routers/jobs.py,19
raster-service,GET,/v1/jobs/{job_id}/result,job_result,services/raster-service/routers/jobs.py,37
raster-service,GET,/healthz,healthz,services/raster-service/routers/observability.py,31
raster-service,GET,/metrics,metrics,services/raster-service/routers/observability.py,36
