service,file,line,method,path,handler,classification
raster-service,services/raster-service/routers/fields.py,1005,GET,/v1/fields/{field_id}/tiles/{z}/{x}/{y}.png,field_tile,versioned
raster-service,services/raster-service/routers/fields.py,1079,GET,/v1/fields/{field_id}/available-dates,field_available_dates,versioned
raster-service,services/raster-service/routers/fields.py,1192,GET,/v1/fields/{field_id}/terrain,field_terrain,versioned
raster-service,services/raster-service/routers/fields.py,1241,GET,/v1/fields/{field_id}/tilejson,field_tilejson,versioned
raster-service,services/raster-service/routers/imagery.py,22,GET,/v1/imagery/backfill/policy,historical_backfill_policy,versioned
raster-service,services/raster-service/routers/imagery.py,44,GET,/v1/imagery/quality/policy,imagery_quality_policy,versioned
raster-service,services/raster-service/routers/imagery.py,78,POST,/v1/imagery/scenes/rank,rank_imagery_scenes,versioned
raster-service,services/raster-service/routers/imagery.py,91,POST,/v1/imagery/mosaic/plan,imagery_mosaic_plan,versioned
raster-service,services/raster-service/routers/imagery.py,114,POST,/v1/scenes/quality-score,scene_quality_score,versioned
raster-service,services/raster-service/routers/imagery.py,130,POST,/v1/cog/registry/preview,cog_registry_preview,versioned
raster-service,services/raster-service/routers/imagery_search.py,24,GET,/imagery/search/recent,imagery_search_recent,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,43,GET,/imagery/search/season,imagery_search_season,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,65,GET,/imagery/best,imagery_best_scene,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,120,POST,/imagery/search,imagery_search,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,132,GET,/imagery/search/radar,imagery_search_radar,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,157,GET,/imagery/search/landsat,imagery_search_landsat,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,157,GET,/imagery/search/landsat-thermal,imagery_search_landsat,legacy_unversioned_business
raster-service,services/raster-service/routers/imagery_search.py,186,GET,/imagery/dem,imagery_dem,legacy_unversioned_business
raster-service,services/raster-service/routers/jobs.py,19,GET,/jobs/{job_id},job_status,legacy_unversioned_business
raster-service,services/raster-service/routers/jobs.py,37,GET,/jobs/{job_id}/result,job_result,legacy_unversioned_business
raster-service,services/raster-service/routers/observability.py,31,GET,/healthz,healthz,infra
raster-service,services/raster-service/routers/observability.py,36,GET,/metrics,metrics,infra
